param\var,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth2.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth1.Integrator1.y,Land_Fertility1.Land_Fertility.Integrator1.y,Food_Production1.Perc_Food_Ratio.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth3.Integrator1.y,Service_Sector_Investment1.Service_Capital.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth1.Integrator1.y,Land_Fertility1.Yield_Tech_LYTD.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth1.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth3.Integrator1.y,Labor_Utilization1.Labor_Util_Fr_Del.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth1.Integrator1.y,Population_Dynamics1.Pop_45_64.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth2.Integrator1.y,Arable_Land_Dynamics1.Urban_Ind_Land.Integrator1.y,Human_Fertility1.Avg_Ind_Out_PC.Smooth_of_Input.Integrator1.y,Arable_Land_Dynamics1.Pot_Arable_Land.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth3.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth3.Integrator1.y,Food_Production1.Agr_Inp.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth1.Integrator1.y,Life_Expectancy1.Eff_Hlth_Serv_PC.Smooth_of_Input.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth3.Integrator1.y,Arable_Land_Dynamics1.Arable_Land.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth2.Integrator1.y,Population_Dynamics1.Pop_0_14.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth2.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth3.Integrator1.y,NR_Resource_Utilization1.Res_Tech_NRTD.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth2.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth1.Integrator1.y,Population_Dynamics1.Pop_15_44.Integrator1.y,Industrial_Investment1.Industrial_Capital.Integrator1.y,NR_Resource_Utilization1.NR_Resources.Integrator1.y,Pollution_Dynamics1.PPoll_Tech_PTD.Integrator1.y,Population_Dynamics1.Pop_65plus.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth2.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth3.Integrator1.y,Pollution_Dynamics1.Pers_Pollution.Integrator1.y
ind_out_in_1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppoll_trans_del,0,0,7.63638814697209E-15,1.84649478053012E-15,-5.46103989543066E-16,3.36248660976672E-07,0,0,1.31064552067169E-13,0,0,-7.93822030178737E-16,-1.26695037085288E-08,-2.76130495524905E-08,-2.88140873957938E-14,3.7761608181804E-09,3.87793541950595E-14,-2.17581568009869E-07,2.4563461203191E-10,1.09975195259754E-15,1.78123249775733E-05,0,-2.07265516028479E-14,0,967961.039876114,6.33202906411245E-15,1.85030579821639E-07,0,2.84843818365119E-09,0,0,0,-3.72585222328636E-14,-2.81713380761719E-07,0.00060333115807,1.39869540962906E-05,0,-2.23359119726908E-08,0,0,-1.18311729225884E-07
ind_mtl_emiss_fact,0,0,1.17683458078213E-12,3.29964337704701E-14,1.70887263441613E-15,-0.00603850877654,0,0,2.51411953439126E-11,0,0,-1.82369183067185E-12,2.87497125436144E-06,-1.69621095394032E-05,-1.02929712364056E-12,-1.67623555573869E-08,8.25888784795943E-14,49818213.6529151,-5.63540342194867E-09,9.64442775672635E-15,3898637030.09889,0,-2.40826589847916E-13,0,-49818213.652879,-7.0640472077108E-13,4.73520889957112E-05,0,3.24014740576609E-07,0,0,0,4.45377493159558E-12,-9.99204085151961E-06,0.01076801179813,-0.00074890744998,0,6.90206549232482E-06,0,0,-5.88015159198512E-08
social_discount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reproductive_lifetime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agr_inp_init,0,0,-2.61665577708965E-14,1.08770721704798E-15,4.12311138422556E-16,-1.61412253044797E-05,0,0,2.72724324467129E-13,0,0,1.4083991078413E-16,5.69017948739509E-08,-1.73372006223766E-08,-3.18513995304768E-15,-1.32464158344746E-09,-9.14897108896048E-15,-4.56998115339065E-08,1.1054815409069E-10,-3.76217283181348E-16,4.17763950043051E-06,0,-1.16341475207922E-14,0,101160.44366033,8.08020667893903E-15,7.73588735587152E-08,0,-5.19789624100183E-10,0,0,0,-1.60382105180932E-13,-5.49124078337879E-07,7.89422469938418E-05,5.10058645819763E-07,0,-8.27213830952704E-08,0,0,-7.11334226080585E-09
ppoll_in_1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urban_ind_land_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urb_ind_land_dev_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pop3_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_res_tech_chg_mlt[3],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
income_expect_avg_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fioa_cons_const_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
des_food_ratio_dfr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_agr_inp_2,0,0,8.20587177275243E-15,3.62956123573411E-14,3.07045325625415E-16,-7.39241258101003E-06,0,0,1.28293170337108E-12,0,0,-7.45299749161115E-13,3.23138508141062E-07,-4.24862173449308E-07,-1.53275289180204E-15,8.05024931090495E-09,-6.2777930059498E-14,575914.417476701,-4.86946282926054E-10,1.69433145938088E-15,78547501.9079492,0,-5.32748841714525E-15,0,-575914.417480212,-6.98868091077409E-15,1.10060581127058E-05,0,-8.44380554576894E-09,0,0,0,1.23306254559863E-13,-1.54234701207684E-06,1.26555978860978E-07,3.84332966013258E-05,0,1.34032136650773E-06,0,0,-8.19806016687816E-08
pop1_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_yield_tech_chg_mlt[1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[11],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
life_expect_norm,0,0,1.18910486881736E-13,4.99523921650968E-15,-1.70456695382749E-15,2.49867662538643E-05,0,0,1.22671789326924E-13,0,0,7.24529413552138E-15,2.94755666275E-08,2.22510853586043E-07,-2.64217289737908E-13,-7.03187852483031E-09,-2.45100694098163E-14,33207.2556343279,-2.74517066433949E-10,1.39702305555314E-15,2598387.81796712,0,1.7902677236091E-14,0,-33207.2556337142,5.21376562015858E-15,-4.3740600374181E-06,0,2.79828905529265E-09,0,0,0,-5.48837449185179E-13,-5.45270914560658E-07,1.09930180048191E-05,-5.69014368050451E-06,0,1.00426731521801E-07,0,0,-2.94147413549877E-08
p_avg_life_ind_cap_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_ind_cap_out_ratio_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[3],0,0,5.33570210031186E-14,1.37023972727361E-15,5.70241523834655E-15,-5.03401267836912E-05,0,0,2.51361234674439E-13,0,0,-7.93273095348054E-15,9.15278008055684E-08,1.18262987854778E-06,1.95767822091023E-14,-4.89462167791923E-09,1.14671388903314E-14,-1435187.86826538,-7.40549037665745E-10,6.38843053485481E-16,-195741973.640309,0,6.26544512778407E-16,0,1435187.8682602,2.04425472123721E-15,-1.20918187583797E-06,0,9.74511219385209E-08,0,0,0,-8.42949182816269E-13,5.84847611914313E-07,0.00023056479699,1.80424492746463E-05,0,3.88860214359567E-07,0,0,-3.08109993142767E-07
p_yield_tech_chg_mlt[3],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subsist_food_pc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_land_life_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_ppoll_tech_chg_mlt[4],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_air_poll_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
processing_loss,0,0,-1.40819343913342E-14,-2.21827353855314E-15,6.91151745028821E-16,-2.31072389109159E-06,0,0,-6.16742984352787E-14,0,0,1.08578475081297E-14,2.60807428977251E-08,2.70043277249614E-08,-2.32206225547204E-15,5.43595266599364E-09,-6.81428552394247E-14,1.73923141209568E-07,4.19877722081585E-10,1.93001100583918E-15,-1.61629698387209E-05,0,-2.86428257774614E-14,0,379304.612235339,5.54799378061418E-15,5.6547443960145E-07,0,-5.23471334540153E-09,0,0,0,-2.68580073882911E-13,-2.38426799406103E-07,0.00030724303487,-1.4540533227524E-05,0,-4.9094978053591E-08,0,0,-9.14197762683047E-08
p_fr_cap_al_obt_res_2[4],0,0,-1.33561131400833E-12,2.32664459639062E-14,-3.52712663956125E-14,0.00030334817969,0,0,2.28840043267688E-12,0,0,2.74485125104333E-14,3.25162994492036E-06,-2.7844296471022E-05,-7.02850141680383E-13,3.45577919645105E-07,2.54244478835539E-14,-30975503.9254996,7.6437571941036E-09,1.72715346999356E-13,-4227908070.41178,0,-3.97838029983657E-13,0,30975503.9254991,5.32846949158718E-13,9.845820427747E-07,0,1.64341617775467E-07,0,0,0,-1.26346563517005E-11,-5.05296673706358E-06,-0.01391627035116,0.00056497222978,0,-4.87215847255239E-07,0,0,-8.16515628969709E-06
t_fert_cont_eff_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[10],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pot_arable_land_tot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
des_res_use_rt_DNRUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
land_fertility_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agr_mtl_toxic_index,0,0,1.99673725130454E-14,1.8908770817451E-15,7.85588448272155E-16,-1.26580499901371E-05,0,0,-1.63737371627602E-13,0,0,9.11661307614103E-15,2.09129527601154E-08,1.37298102812188E-06,1.79514788596983E-13,-6.38682380384745E-10,2.7804290505126E-14,1.68056291951815E-07,-3.63193542500559E-11,6.04827371499955E-16,1.52764794222302E-05,0,-1.57158851817512E-15,0,4718084.98219259,1.24291280934063E-14,1.32695335087975E-06,0,-2.6354792727674E-08,0,0,0,-2.2018192185831E-13,3.36928045742447E-07,-0.00018209538847,-6.80741929715914E-06,0,-1.09040541557023E-09,0,0,8.06740796294987E-08
p_res_tech_chg_mlt[1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_fcaor_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labor_force_partic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[7],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[9],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
des_ppoll_index_DPOLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food_short_perc_del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_zero_pop_grow_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frac_res_pers_mtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_serv_cap_out_ratio_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_ind_cap_1,0,0,-5.34922594183466E-13,-2.77160049215592E-13,-5.09660829494685E-15,-0.00078670348666,0,0,4.12248545816937E-12,0,0,1.19226123281689E-12,3.1581815194981E-06,-1.72157247230424E-05,-2.63149828313387E-14,6.67772499569073E-08,3.4701615983953E-13,12385413.5473349,-1.21971669996844E-09,2.42957954017772E-14,1690511256.89199,0,4.23130087583482E-14,0,-12385413.5473283,-1.97560860958083E-13,1.07199313773858E-05,0,1.44529258217505E-07,0,0,0,-7.57613717766615E-12,2.24569462080325E-06,-0.0051121212553,-6.11527996959214E-05,0,5.95907742787135E-07,0,0,9.68934863058925E-07
avg_life_land_norm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppoll_tech_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_serv_cap_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_pop_equil_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fr_agr_inp_pers_mtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_ppoll_tech_chg_mlt[3],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifet_perc_del,0,0,-3.60848885094231E-15,2.28556343436457E-15,-2.96232864427524E-15,1.40801675665329E-05,0,0,2.80868134905446E-13,0,0,7.90770881105232E-15,3.25321461474482E-08,1.5697725398267E-07,-2.07799657557363E-14,-1.4447075682086E-10,-1.59900388953697E-14,7296.53101623651,-6.44549870588733E-10,1.30017979445299E-15,570913.78290364,0,-2.29173248823358E-14,0,-7296.53101685515,2.47304133247349E-14,-1.44004733048694E-07,0,3.15735062456137E-10,0,0,0,1.827366373875E-15,-1.39132185847349E-07,4.62459526191646E-05,-1.80503526400019E-05,0,-9.73246680529897E-08,0,0,-1.49821450982835E-07
p_serv_cap_out_ratio_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labor_util_fr_del_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_tech_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
des_compl_fam_size_norm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social_adj_del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assim_half_life_1970,0,0,-1.65670957510994E-14,-1.77232159084843E-15,-1.0106054267222E-16,9.80989626714237E-06,0,0,-8.63565384468054E-14,0,0,8.95648071039879E-15,-2.14018975526923E-08,-1.70586774539724E-07,-2.11581234082513E-14,-4.49753799405931E-09,-8.85113638598903E-15,1.97893578124591E-07,-7.39481826613416E-11,-1.57883969155583E-15,1.51481341400162E-05,0,-8.58642778367013E-15,0,3409150.0150664,-9.09618862463873E-15,4.35634945238062E-07,0,-2.15177853868096E-09,0,0,0,1.77181614603702E-13,-2.57052282748703E-07,0.00041332056465,1.44675639803405E-05,0,-3.94758733871332E-08,0,0,-1.50562108312583E-07
p_fr_cap_al_obt_res_2[5],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_yield_tech_chg_mlt[2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tech_dev_del_TDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_agr_inp_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_yield_tech_chg_mlt[4],0,0,1.13153823987316E-14,-6.46233403295903E-16,-4.01045027845436E-16,-3.01795244677794E-06,0,0,-5.77741773917255E-13,0,0,1.31781689254638E-14,2.91880268594787E-08,3.87816296047659E-07,-2.96927727658863E-14,-6.66198418114307E-09,-8.98290648380603E-15,1.0222541525477E-07,9.43459272737857E-11,-2.89225565368413E-16,-2.24648322263625E-05,0,1.68074214185501E-14,0,358685.096367701,-6.71502953221631E-15,8.29937400898443E-07,0,1.95911105550785E-09,0,0,0,1.02361293899109E-13,-2.48148042871038E-07,7.29324450173622E-07,8.50796277820642E-06,0,-9.89911293326286E-08,0,0,6.20382195860489E-08
p_fioa_cons_const_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
