parameter,parameter_default,parameter_perturbed_1_percent,population_2100_std,population_2100_new,std/new,(new-std)/std,ABS((new-std)/std)
urb_ind_land_dev_time,10,10.1,3985193933.2464,3985161333.6452,1,-8.18017936425795E-006,8.18017936425795E-006
food_short_perc_del,2,2.02,3985193933.2464,3985163448.4262,1,-7.64951988228907E-006,7.64951988228907E-006
pop3_init,190000000,191900000,3985193933.2464,3985213297.4727,1,0.000004859,0.000004859
tech_dev_del_TDD,20,20.2,3985193933.2464,3985213001.4817,1,4.78476972272306E-006,4.78476972272306E-006
labor_util_fr_del_time,2,2.02,3985193933.2464,3985179159.5668,1,-3.707141960888E-006,3.707141960888E-006
res_tech_init,1,1.01,3985193933.2464,3985182950.4067,1,-2.75591096595097E-006,2.75591096595097E-006
pop4_init,60000000,60600000,3985193933.2464,3985185555.807,1,-2.10214095738074E-006,2.10214095738074E-006
pers_pollution_init,25000000,25250000,3985193933.2464,3985198342.8249,1,1.10649032079354E-006,1.10649032079354E-006
perc_food_ratio_init,1,1.01,3985193933.2464,3985191213.4703,1,-6.82470205617146E-007,6.82470205617146E-007
yield_tech_init,1,1.01,3985193933.2464,3985193156.0806,1,-0.000000195,0.000000195
ppoll_tech_init,1,1.01,3985193933.2464,3985193259.5855,1,-0.000000169,0.000000169
des_food_ratio_dfr,2,2.02,3985193933.2464,3985193933.2464,1,0,0
des_ppoll_index_DPOLX,1.2,1.212,3985193933.2464,3985193933.2464,1,0,0
des_res_use_rt_DNRUR,4800000000,4848000000,3985193933.2464,3985193933.2464,1,0,0
ind_out_in_1970,790000000000,797900000000,3985193933.2464,3985193933.2464,1,0,0
ind_out_pc_des,400,404,3985193933.2464,3985193933.2464,1,0,0
p_avg_life_agr_inp_2,2,2.02,3985193933.2464,3985193933.2464,1,0,0
p_avg_life_ind_cap_2,14,14.14,3985193933.2464,3985193933.2464,1,0,0
p_avg_life_serv_cap_2,20,20.2,3985193933.2464,3985193933.2464,1,0,0
p_fioa_cons_const_2,0.43,0.4343,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[1],1,1.01,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[2],0.2,0.202,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[3],0.1,0.101,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[4],0.05,0.0505,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[5],0.05,0.0505,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[6],0.05,0.0505,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[7],0.05,0.0505,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[8],0.05,0.0505,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[9],0.05,0.0505,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[10],0.05,0.0505,3985193933.2464,3985193933.2464,1,0,0
p_fr_cap_al_obt_res_2[11],0.05,0.0505,3985193933.2464,3985193933.2464,1,0,0
p_ppoll_tech_chg_mlt[1],0,0,3985193933.2464,3985193933.2464,1,0,0
p_ppoll_tech_chg_mlt[2],0,0,3985193933.2464,3985193933.2464,1,0,0
p_ppoll_tech_chg_mlt[3],0,0,3985193933.2464,3985193933.2464,1,0,0
p_ppoll_tech_chg_mlt[4],0,0,3985193933.2464,3985193933.2464,1,0,0
p_res_tech_chg_mlt[1],0,0,3985193933.2464,3985193933.2464,1,0,0
p_res_tech_chg_mlt[2],0,0,3985193933.2464,3985193933.2464,1,0,0
p_res_tech_chg_mlt[3],0,0,3985193933.2464,3985193933.2464,1,0,0
p_res_tech_chg_mlt[4],0,0,3985193933.2464,3985193933.2464,1,0,0
p_serv_cap_out_ratio_2,1,1.01,3985193933.2464,3985193933.2464,1,0,0
p_yield_tech_chg_mlt[1],0,0,3985193933.2464,3985193933.2464,1,0,0
p_yield_tech_chg_mlt[2],0,0,3985193933.2464,3985193933.2464,1,0,0
p_yield_tech_chg_mlt[3],0,0,3985193933.2464,3985193933.2464,1,0,0
p_yield_tech_chg_mlt[4],0,0,3985193933.2464,3985193933.2464,1,0,0
t_air_poll_time,4000,4040,3985193933.2464,3985193933.2464,1,0,0
t_fcaor_time,4000,4040,3985193933.2464,3985193933.2464,1,0,0
t_fert_cont_eff_time,4000,4040,3985193933.2464,3985193933.2464,1,0,0
t_ind_equil_time,4000,4040,3985193933.2464,3985193933.2464,1,0,0
t_land_life_time,4000,4040,3985193933.2464,3985193933.2464,1,0,0
t_policy_year,4000,4040,3985193933.2464,3985193933.2464,1,0,0
t_pop_equil_time,4000,4040,3985193933.2464,3985193933.2464,1,0,0
t_zero_pop_grow_time,4000,4040,3985193933.2464,3985193933.2464,1,0,0
